Player Name,Base Price,Type,Cost in Rs. (CR),Cost in $ (K),2022 Squad,2023 Squad
Ashok Sharma,2000000,BOWLER,,,,Unsold
Kanwar Singh,2000000,BOWLER,,,,Unsold
Fabian Allen,5000000,ALL-ROUNDER,,,MI,Unsold
Carlos Brathwaite,7500000,ALL-ROUNDER,,,,Unsold
Roston Chase,10000000,ALL-ROUNDER,,,,Unsold
Rahkeem Cornwall,10000000,ALL-ROUNDER,,,,Unsold
Karim Janat,5000000,ALL-ROUNDER,,,,Unsold
Keshav Maharaj,5000000,ALL-ROUNDER,,,,Unsold
Pawan Negi,5000000,ALL-ROUNDER,,,,Unsold
Keemo Paul,5000000,ALL-ROUNDER,,,,Unsold
Shivam Chaudhary,2000000,ALL-ROUNDER,,,,Unsold
Ashwin Das,2000000,ALL-ROUNDER,,,,Unsold
James Fuller,4000000,ALL-ROUNDER,,,,Unsold
Chirag Jani,2000000,ALL-ROUNDER,,,,Unsold
Akshay Karnewar,2000000,ALL-ROUNDER,,,,Unsold
Bhagmender Lather,2000000,ALL-ROUNDER,,,,Unsold
Lone Muzaffar,2000000,ALL-ROUNDER,,,,Unsold
Pulkit Narang,2000000,ALL-ROUNDER,,,,Unsold
Rohit Rayudu,2000000,ALL-ROUNDER,,,,Unsold
Sameer Rizvi,2000000,ALL-ROUNDER,,,,Unsold
Tunish Sawkar,2000000,ALL-ROUNDER,,,,Unsold
Auqib Dar,2000000,BOWLER,,,,Unsold
Mukhtar Hussain,2000000,BOWLER,,,,Unsold
Ashwani Kumar,2000000,BOWLER,,,,Unsold
Hemant Kumar,2000000,BOWLER,,,,Unsold
Nathan McAndrew,2000000,BOWLER,,,,Unsold
Rajesh Mohanty,2000000,BOWLER,,,,Unsold
Ravi Sharma,2000000,BOWLER,,,,Unsold
Vikash Singh,2000000,BOWLER,,,,Unsold
Ruben Trumpelmann,2000000,BOWLER,,,,Unsold
Koushik Vasuki,2000000,BOWLER,,,,Unsold
Vasu Vats,2000000,BOWLER,,,,Unsold
Shubham Agrawal,2000000,ALL-ROUNDER,,,,Unsold
Baba Aparajith,2000000,ALL-ROUNDER,,,,Unsold
Anshul Kamboj,2000000,ALL-ROUNDER,,,,Unsold
Azim Kazi,2000000,ALL-ROUNDER,,,,Unsold
Dev Lakra,2000000,ALL-ROUNDER,,,,Unsold
Jitender Pal,2000000,ALL-ROUNDER,,,,Unsold
Ritwik Roy Chowdhury,2000000,ALL-ROUNDER,,,,Unsold
Utkarsh Singh,2000000,ALL-ROUNDER,,,,Unsold
Shubham Singh,2000000,ALL-ROUNDER,,,,Unsold
Avneesh Sudha,2000000,ALL-ROUNDER,,,,Unsold
Asad Jamil Ahmed,2000000,BOWLER,,,,Unsold
Bandaru Ayyappa,2000000,BOWLER,,,,Unsold
Aashish Bhatt,2000000,BOWLER,,,,Unsold
McKenny Clarke,2000000,BOWLER,,,,Unsold
Shubham Kapse,2000000,BOWLER,,,,Unsold
Gourav Koul,2000000,BOWLER,,,,Unsold
Raunak Kumar,2000000,BOWLER,,,,Unsold
Trilok Nag,2000000,BOWLER,,,,Unsold
Atal Bihari Rai,2000000,BOWLER,,,,Unsold
Ramon Simmonds,2000000,BOWLER,,,,Unsold
Rajeev Singh,2000000,BOWLER,,,,Unsold
Mohd. Wasim,2000000,BOWLER,,,,Unsold
Atharva Ankolekar,2000000,ALL-ROUNDER,,,,Unsold
Khizar Dafedar,2000000,ALL-ROUNDER,,,,Unsold
Naman Dhir,2000000,ALL-ROUNDER,,,,Unsold
Sahil Dhiwan,2000000,ALL-ROUNDER,,,,Unsold
Sampark Gupta,2000000,ALL-ROUNDER,,,,Unsold
Jordan Hermann,2000000,ALL-ROUNDER,,,,Unsold
Hayden Kerr,2000000,ALL-ROUNDER,,,,Unsold
Salman Khan,2000000,ALL-ROUNDER,,,,Unsold
Sairaj Patil,2000000,ALL-ROUNDER,,,,Unsold
Divyaansh Saxena,2000000,ALL-ROUNDER,,,,Unsold
Purnank Tyagi,2000000,ALL-ROUNDER,,,,Unsold
Prince Yadav,2000000,ALL-ROUNDER,,,,Unsold
Deepraj Gaonkar,2000000,ALL-ROUNDER,,,,Unsold
Shubham Garhwal,2000000,ALL-ROUNDER,,,RR,Unsold
Benny Howell,4000000,ALL-ROUNDER,,,PBKS,Unsold
Deepesh Nailwal,2000000,ALL-ROUNDER,,,,Unsold
Arjun Rapria,2000000,ALL-ROUNDER,,,,Unsold
Shashwat Rawat,2000000,ALL-ROUNDER,,,,Unsold
Sumit Ruikar,2000000,ALL-ROUNDER,,,,Unsold
Shivam Sharma,2000000,ALL-ROUNDER,,,,Unsold
Rajandeep Singh,2000000,ALL-ROUNDER,,,,Unsold
Anunay Singh,2000000,ALL-ROUNDER,,,,Unsold
Digvesh Singh,2000000,ALL-ROUNDER,,,,Unsold
Pranshu Vijayran,2000000,ALL-ROUNDER,,,,Unsold
Prerit Dutta,2000000,ALL-ROUNDER,,,,Unsold
Ramakrishna Ghosh,2000000,ALL-ROUNDER,,,,Unsold
Shubhang Hegde,2000000,ALL-ROUNDER,,,,Unsold
Shamshuzama Kazi,2000000,ALL-ROUNDER,,,,Unsold
Ayaz Khan,2000000,ALL-ROUNDER,,,,Unsold
Amit Pachhara,2000000,ALL-ROUNDER,,,,Unsold
Akul Pandove,2000000,ALL-ROUNDER,,,,Unsold
Garv Sangwan,2000000,ALL-ROUNDER,,,,Unsold
Shubham Sharma,2000000,ALL-ROUNDER,,,,Unsold
Amit Yadav,2000000,ALL-ROUNDER,,,,Unsold
Amit Ali,2000000,ALL-ROUNDER,,,,Unsold
Rishabh Chauhan,2000000,ALL-ROUNDER,,,,Unsold
Matthew Forde,2000000,ALL-ROUNDER,,,,Unsold
Sammar Gajjar,2000000,ALL-ROUNDER,,,,Unsold
Rajneesh Gurbani,2000000,ALL-ROUNDER,,,,Unsold
Divyansh Joshi,2000000,ALL-ROUNDER,,,,Unsold
Dhruv Patel,2000000,ALL-ROUNDER,,,,Unsold
Jack Prestwidge,2000000,ALL-ROUNDER,,,,Unsold
Aditya Sarvate,2000000,ALL-ROUNDER,,,,Unsold
Sagar Solanki,2000000,ALL-ROUNDER,,,,Unsold
Prenelan Subrayen,2000000,ALL-ROUNDER,,,,Unsold
