Players,2022 Set,Country,State Association,Age,Specialism,Batting Style,Bowling Style,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2021 Team,2021 IPL,C/U/A,Reserve Price Rs Lakh,Price Paid,Team,Bid
Rahul Shukla,UFA6,India,JSCA,31,BOWLER,RHB,RIGHT ARM Fast,0.0,0.0,0.0,7.0,"MI, RR, DD",Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Nuwan Thushara,UFA6,Sri Lanka,F,27,BOWLER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Mark Adnair,AL7,Ireland,F,26,ALL-ROUNDER,RHB,RIGHT ARM Fast,1.0,24.0,31.0,0.0,Do No Play,Do No Play,0.0,Capped,50,0.0,UnSold,UnSold
Hilton Cartwright,AL7,Australia,F,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,2.0,2.0,0.0,0.0,Do No Play,Do No Play,0.0,Capped,50,0.0,UnSold,UnSold
Gareth Delany,AL7,Ireland,F,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0.0,12.0,29.0,0.0,Do No Play,Do No Play,0.0,Capped,50,0.0,UnSold,UnSold
Danushka Gunatilaka,AL7,Sri Lanka,F,31,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,8.0,44.0,30.0,0.0,Do No Play,Do No Play,0.0,Capped,50,0.0,UnSold,UnSold
Anaru Kitchen,AL7,New Zealand,F,38,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0.0,0.0,5.0,0.0,Do No Play,Do No Play,0.0,Capped,50,0.0,UnSold,UnSold
Dhananjaya Lakshan,AL7,Sri Lanka,F,23,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0.0,1.0,0.0,0.0,Do No Play,Do No Play,0.0,Capped,50,0.0,UnSold,UnSold
Sisanda Magala,AL7,South Africa,F,31,ALL-ROUNDER,RHB,RIGHT ARM Fast,0.0,1.0,4.0,0.0,Do No Play,Do No Play,0.0,Capped,50,0.0,UnSold,UnSold
Kyle Mayers,AL7,West Indies,F,29,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,10.0,3.0,2.0,0.0,Do No Play,Do No Play,0.0,Capped,50,5000000.0,LSG,Sold
